id,text,source
documents.csv_0,doc_001,data/train_set/documents.csv
documents.csv_1,doc_002,data/train_set/documents.csv
documents.csv_2,doc_003,data/train_set/documents.csv
documents.csv_3,doc_004,data/train_set/documents.csv
documents.csv_4,doc_005,data/train_set/documents.csv
documents.csv_5,doc_006,data/train_set/documents.csv
documents.csv_6,doc_007,data/train_set/documents.csv
documents.csv_7,doc_008,data/train_set/documents.csv
documents.csv_8,doc_009,data/train_set/documents.csv
documents.csv_9,doc_010,data/train_set/documents.csv
documents.json_0,"Type 2 diabetes is a chronic condition that affects the way your body metabolizes sugar glucose. Symptoms include increased thirst, frequent urination, hunger, fatigue, and blurred vision. Treatment involves lifestyle changes, medication, and regular monitoring of blood glucose levels. Metformin is often the firstline treatment for type 2 diabetes.",data/train_set/documents.json
documents.json_1,"COVID19 is primarily transmitted through respiratory droplets when an infected person coughs, sneezes, or talks. The virus can also spread through airborne transmission in poorly ventilated spaces. Prevention measures include wearing masks, maintaining social distance, frequent hand washing, and vaccination. Symptoms range from mild to severe and may include fever, cough, shortness of breath, and loss of taste or smell.",data/train_set/documents.json
documents.json_2,"Hypertension, or high blood pressure, is defined as blood pressure readings consistently above 14090 mmHg. It is often called the silent killer because it typically has no symptoms. Treatment includes lifestyle modifications such as reducing sodium intake, regular exercise, weight management, and limiting alcohol consumption. Medications like ACE inhibitors, diuretics, and betablockers may be prescribed.",data/train_set/documents.json
documents.json_3,"Aspirin is commonly used for pain relief and cardiovascular protection. However, it can cause several side effects including stomach irritation, gastric ulcers, and increased bleeding risk. Contraindications include active peptic ulcer disease, severe liver disease, and allergy to salicylates. Patients should be monitored for signs of gastrointestinal bleeding when on longterm aspirin therapy.",data/train_set/documents.json
documents.json_4,"The immune system is the bodys defense mechanism against infections and diseases. It consists of white blood cells, antibodies, and other components that work together to identify and eliminate pathogens. The immune system has two main parts: innate immunity immediate response and adaptive immunity specific, longlasting response. Immunodeficiency disorders can make individuals more susceptible to infections.",data/train_set/documents.json
documents.json_5,"Antibiotic resistance occurs when bacteria develop the ability to survive exposure to antibiotics that would normally kill them. This is a growing global health threat. Causes include overuse and misuse of antibiotics, poor infection control practices, and inadequate sanitation. Prevention strategies include appropriate antibiotic prescribing, completing full courses of treatment, and implementing infection control measures in healthcare settings.",data/train_set/documents.json
documents.json_6,"Depression is a common mental health disorder characterized by persistent sadness, loss of interest, and impaired daily functioning. Symptoms may include changes in appetite, sleep disturbances, fatigue, and difficulty concentrating. Treatment options include psychotherapy, antidepressant medications, and lifestyle interventions. Cognitive behavioral therapy CBT and selective serotonin reuptake inhibitors SSRIs are commonly used treatments.",data/train_set/documents.json
documents.json_7,"Cardiovascular disease is the leading cause of death worldwide. Risk factors include high blood pressure, high cholesterol, smoking, diabetes, obesity, and sedentary lifestyle. Prevention strategies include regular physical activity, healthy diet rich in fruits and vegetables, smoking cessation, stress management, and regular health screenings. Statins may be prescribed to lower cholesterol levels in highrisk patients.",data/train_set/documents.json
documents.json_8,Early detection through screening can significantly improve cancer outcomes. Mammograms are recommended for breast cancer screening in women aged 5074. Colonoscopy is recommended for colorectal cancer screening starting at age 50. Pap smears are used for cervical cancer screening in women aged 2165. Lung cancer screening with lowdose CT is recommended for highrisk individuals with smoking history.,data/train_set/documents.json
documents.json_9,"Vaccines are one of the most effective public health interventions for preventing infectious diseases. The childhood vaccination schedule includes vaccines for measles, mumps, rubella, polio, hepatitis B, and others. Adult vaccines include annual influenza vaccine, COVID19 vaccines, and boosters for tetanus and diphtheria. Herd immunity occurs when a large portion of the population becomes immune, protecting vulnerable individuals.",data/train_set/documents.json
queries.csv_0,What are the symptoms of diabetes?,data/train_set/queries.csv
queries.csv_1,How is COVID19 transmitted?,data/train_set/queries.csv
queries.csv_2,What are the side effects of aspirin?,data/train_set/queries.csv
queries.csv_3,What is the treatment for hypertension?,data/train_set/queries.csv
queries.csv_4,How does the immune system work?,data/train_set/queries.csv
queries.csv_5,What causes antibiotic resistance?,data/train_set/queries.csv
queries.csv_6,What are the symptoms of depression?,data/train_set/queries.csv
queries.csv_7,How can cardiovascular disease be prevented?,data/train_set/queries.csv
queries.csv_8,What cancer screening tests are recommended?,data/train_set/queries.csv
queries.csv_9,Why are vaccines important?,data/train_set/queries.csv
documents.csv_0,doc_001,data/train_set/train_set/documents.csv
documents.csv_1,doc_002,data/train_set/train_set/documents.csv
documents.csv_2,doc_003,data/train_set/train_set/documents.csv
documents.csv_3,doc_004,data/train_set/train_set/documents.csv
documents.csv_4,doc_005,data/train_set/train_set/documents.csv
documents.csv_5,doc_006,data/train_set/train_set/documents.csv
documents.csv_6,doc_007,data/train_set/train_set/documents.csv
documents.csv_7,doc_008,data/train_set/train_set/documents.csv
documents.csv_8,doc_009,data/train_set/train_set/documents.csv
documents.csv_9,doc_010,data/train_set/train_set/documents.csv
